time,X_cells_unwrapped,A_over_h2,relL2
1.01,504.30716668314363,0.10000205801091515,8.179750921404025e-05
1.02,505.3399136750547,0.10000205801091878,8.179750913316314e-05
1.03,506.37266066696566,0.10000205801092317,8.179750902827208e-05
1.04,507.40540765887664,0.10000205801092814,8.179750890295244e-05
1.05,508.43815465078757,0.10000205801093366,8.179750876057499e-05
1.06,509.47090164269855,0.1000020580109395,8.179750860476153e-05
1.07,510.5036486346095,0.10000205801094562,8.179750843917015e-05
1.08,511.5363956265204,0.10000205801095188,8.17975082668908e-05
1.09,512.5691426184313,0.10000205801095824,8.179750809082866e-05
1.1,513.6018896103423,0.10000205801096453,8.179750791375358e-05
1.11,514.6346366022531,0.10000205801097076,8.179750773836604e-05
1.12,515.667383594164,0.10000205801097682,8.179750756704019e-05
1.1300000000000001,516.7001305860748,0.10000205801098264,8.179750740200152e-05
1.1400000000000001,517.7328775779855,0.10000205801098809,8.179750724522675e-05
1.1500000000000001,518.7656245698963,0.10000205801099321,8.17975070987868e-05
1.16,519.798371561807,0.10000205801099793,8.179750696421696e-05
1.17,520.8311185537177,0.10000205801100212,8.179750684312838e-05
1.18,521.8638655456284,0.10000205801100581,8.179750673643793e-05
1.19,522.8966125375391,0.10000205801100899,8.179750664564455e-05
1.2,523.9293595294498,0.10000205801101153,8.179750657137269e-05
1.21,524.9621065213604,0.10000205801101351,8.179750651449249e-05
1.22,525.9948535132711,0.10000205801101485,8.179750647581553e-05
1.23,527.0276005051818,0.10000205801101554,8.179750645528272e-05
1.24,528.0603474970926,0.10000205801101558,8.179750645359896e-05
1.25,529.0930944890033,0.10000205801101499,8.17975064702404e-05
1.26,530.1258414809141,0.10000205801101374,8.179750650527932e-05
1.27,531.1585884728249,0.10000205801101186,8.179750655872437e-05
1.28,532.1913354647357,0.1000020580110094,8.179750662959497e-05
1.29,533.2240824566466,0.10000205801100637,8.179750671722383e-05
1.3,534.2568294485574,0.10000205801100275,8.179750682111435e-05
1.31,535.2895764404683,0.10000205801099862,8.179750693967237e-05
1.32,536.3223234323792,0.100002058010994,8.179750707204659e-05
1.33,537.3550704242901,0.10000205801098895,8.179750721676931e-05
1.34,538.3878174162011,0.10000205801098351,8.179750737211229e-05
1.35,539.420564408112,0.10000205801097774,8.17975075360236e-05
1.36,540.4533114000229,0.10000205801097171,8.179750770665203e-05
1.37,541.4860583919339,0.10000205801096551,8.179750788183142e-05
1.3800000000000001,542.5188053838448,0.1000020580109592,8.179750805942613e-05
1.3900000000000001,543.5515523757558,0.10000205801095279,8.179750823642574e-05
1.4000000000000001,544.5842993676667,0.10000205801094647,8.179750841011037e-05
1.41,545.6170463595778,0.10000205801094034,8.179750857753979e-05
1.42,546.6497933514887,0.10000205801093441,8.179750873543604e-05
1.43,547.6825403433998,0.10000205801092885,8.179750888070968e-05
1.44,548.7152873353107,0.10000205801092382,8.179750900962772e-05
1.45,549.7480343272217,0.10000205801091931,8.179750911838169e-05
1.46,550.7807813191328,0.10000205801091558,8.179750920359372e-05
1.47,551.8135283110437,0.10000205801091276,8.179750926289209e-05
1.48,552.8462753029547,0.1000020580109112,8.17975092943666e-05
1.49,553.8790222948658,0.1000020580109111,8.179750929672528e-05
1.5,554.9117692867768,0.1000020580109125,8.179750926948367e-05
1.51,555.9445162786877,0.10000205801091526,8.179750921407868e-05
1.52,556.9772632705988,0.10000205801091887,8.17975091329335e-05
1.53,558.0100102625097,0.10000205801092328,8.17975090276459e-05
1.54,559.0427572544207,0.1000020580109283,8.179750890175706e-05
1.55,560.0755042463317,0.10000205801093384,8.179750875845431e-05
1.56,561.1082512382427,0.10000205801093968,8.179750860176597e-05
1.57,562.1409982301536,0.10000205801094585,8.17975084350599e-05
1.58,563.1737452220646,0.10000205801095212,8.179750826161781e-05
1.59,564.2064922139755,0.10000205801095849,8.179750808449507e-05
1.6,565.2392392058863,0.10000205801096483,8.179750790624522e-05
1.61,566.2719861977972,0.10000205801097105,8.17975077299309e-05
1.62,567.304733189708,0.1000020580109771,8.179750755759008e-05
1.6300000000000001,568.3374801816188,0.10000205801098294,8.17975073916239e-05
1.6400000000000001,569.3702271735297,0.1000020580109884,8.17975072342879e-05
1.6500000000000001,570.4029741654405,0.10000205801099353,8.179750708721037e-05
1.6600000000000001,571.4357211573512,0.10000205801099821,8.17975069524062e-05
1.67,572.4684681492619,0.10000205801100241,8.179750683097253e-05
1.68,573.5012151411726,0.1000020580110061,8.179750672462609e-05
1.69,574.5339621330832,0.10000205801100918,8.179750663415831e-05
1.7,575.5667091249938,0.10000205801101174,8.179750656083495e-05
1.71,576.5994561169045,0.10000205801101363,8.179750650520993e-05
1.72,577.6322031088152,0.1000020580110149,8.179750646784953e-05
1.73,578.664950100726,0.10000205801101557,8.179750644923794e-05
1.74,579.6976970926366,0.1000020580110156,8.179750644934796e-05
1.75,580.7304440845473,0.10000205801101496,8.179750646849068e-05
1.76,581.7631910764582,0.10000205801101365,8.179750650601225e-05
1.77,582.795938068369,0.10000205801101178,8.179750656179379e-05
1.78,583.8286850602798,0.10000205801100927,8.179750663501353e-05
1.79,584.8614320521906,0.10000205801100615,8.179750672502064e-05
1.8,585.8941790441015,0.10000205801100252,8.17975068308623e-05
1.81,586.9269260360123,0.10000205801099832,8.179750695162902e-05
1.82,587.9596730279233,0.10000205801099368,8.179750708561618e-05
1.83,588.9924200198342,0.10000205801098858,8.179750723168626e-05
1.84,590.0251670117451,0.10000205801098312,8.179750738792195e-05
1.85,591.057914003656,0.10000205801097733,8.17975075524362e-05
1.86,592.090660995567,0.10000205801097128,8.179750772341187e-05
1.87,593.123407987478,0.10000205801096507,8.179750789860386e-05
1.8800000000000001,594.1561549793889,0.10000205801095871,8.179750807559172e-05
1.8900000000000001,595.1889019712999,0.10000205801095233,8.179750825182037e-05
1.9000000000000001,596.2216489632109,0.10000205801094605,8.179750842425047e-05
1.9100000000000001,597.2543959551218,0.10000205801093988,8.179750859020464e-05
1.92,598.2871429470329,0.10000205801093393,8.179750874641886e-05
1.93,599.3198899389439,0.10000205801092844,8.17975088895502e-05
1.94,600.3526369308548,0.1000020580109234,8.179750901580477e-05
1.95,601.3853839227659,0.10000205801091898,8.179750912175626e-05
1.96,602.4181309146768,0.10000205801091526,8.17975092043706e-05
1.97,603.4508779065878,0.10000205801091255,8.179750926082087e-05
1.98,604.4836248984989,0.10000205801091108,8.179750928970647e-05
1.99,605.5163718904098,0.10000205801091112,8.179750928954001e-05
2.0,606.5491188823208,0.10000205801091261,8.17975092605407e-05
