label,time,step,c0,kind,h,kappa,dt,compacton_speed,max_ahead_HP_over_h2,best_fit_relL2,best_fit_corr,best_fit_A_over_h2,best_fit_center_ahead
baseline,2.64,2640,0.0,abs,0.02,20.0,0.001,1.0,0.1130808876134924,0.8156567571990632,0.5785361306223739,0.06411141791161071,3.4432540239576177
baseline,2.66,2660,0.0,abs,0.02,20.0,0.001,1.0,0.11006744250613834,0.9125672296120958,0.40892670668238845,0.04293714352323694,3.1459372731770188
baseline,2.68,2680,0.0,abs,0.02,20.0,0.001,1.0,0.0998038439337894,0.9109708073397534,0.41247083312006205,0.0427532232073404,3.146788908955209
baseline,2.7,2700,0.0,abs,0.02,20.0,0.001,1.0,0.11188945613136952,0.8435720374496366,0.5370160310764188,0.05545058462818419,3.4141038725244517
baseline,2.72,2720,0.0,abs,0.02,20.0,0.001,1.0,0.11307238771014977,0.8410637313450829,0.5409360404113279,0.057017103397432344,3.4219535016849143
baseline,2.74,2740,0.0,abs,0.02,20.0,0.001,1.0,0.10574741266380283,0.8315241964012584,0.5554885334543292,0.0621143886587599,3.430124128867927
baseline,2.7600000000000002,2760,0.0,abs,0.02,20.0,0.001,1.0,0.09927507196828378,0.9157872964793441,0.40166357515594303,0.059587880654351166,1.8512756496539282
baseline,2.7800000000000002,2780,0.0,abs,0.02,20.0,0.001,1.0,0.11424501619469157,0.9122227618036207,0.4096945604317623,0.06307948744053928,1.8636674566396358
baseline,2.8000000000000003,2800,0.0,abs,0.02,20.0,0.001,1.0,0.119468918432172,0.9045796442328151,0.42630466481101725,0.06595804652297083,1.8753359988146112
baseline,2.82,2820,0.0,abs,0.02,20.0,0.001,1.0,0.1127941673150184,0.8434973525641652,0.5371333318806832,0.05942856984138834,3.4061617666184905
baseline,2.84,2840,0.0,abs,0.02,20.0,0.001,1.0,0.11899909041078961,0.7831805569244702,0.621794351257292,0.08660863418255474,3.422807382921638
baseline,2.86,2860,0.0,abs,0.02,20.0,0.001,1.0,0.10469272810218114,0.8182490624862028,0.5748638723562735,0.07223164734328925,3.436214195612372
baseline,2.88,2880,0.0,abs,0.02,20.0,0.001,1.0,0.1141458696805827,0.8579010225411297,0.5138149818007295,0.05551987326938381,3.4523204134107672
baseline,2.9,2900,0.0,abs,0.02,20.0,0.001,1.0,0.11198775658378758,0.9099116510982553,0.4148021060646231,0.046336675619188555,3.3476836619911445
baseline,2.92,2920,0.0,abs,0.02,20.0,0.001,1.0,0.09816231149302855,0.8147446744438924,0.579819899162935,0.06548467972142775,3.3791704531805884
baseline,2.94,2940,0.0,abs,0.02,20.0,0.001,1.0,0.11655773939829113,0.755320198813059,0.6553559317386245,0.08336407057085361,3.4065511821212233
baseline,2.96,2960,0.0,abs,0.02,20.0,0.001,1.0,0.11912184038777926,0.8073392382441427,0.5900875819667512,0.07387829008620624,3.417110997226887
