method,h,kappa,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
gl6,0.01,5,160,1.6,0.1209091930315746,675.0,0.1209091930315746,675.0,675.0019635819424,0.06663315497834474,0.9260204888271697,0.37747324974399055
gl6,0.01,5,165,1.6500000000000001,0.11639823782527732,673.0,0.11142885678538678,668.0,667.6513295917723,0.07008410244471694,0.9145710760875917,0.40442520542615173
gl6,0.01,5,170,1.7,0.12644105066725328,667.0,0.08163333295596836,674.0,672.8911573858527,0.08272306623664856,0.8701220287722596,0.4928363369773444
gl6,0.01,5,175,1.75,0.11265815662886557,670.0,0.10870411389055887,664.0,664.4310408320293,0.0789956260400407,0.8817842850501393,0.4716529175554994
gl6,0.01,5,180,1.8,0.11966364429080702,664.0,0.03537464085694375,659.0,662.8283716944188,0.0885082103737274,0.8388362766363506,0.5443837809843933
gl6,0.01,5,185,1.85,0.12624939229001134,662.0,0.046994943304468295,658.0,661.4673805468192,0.0785103074924119,0.8736407162780229,0.48657157629810605
gl6,0.01,5,190,1.9000000000000001,0.10225908802402923,665.0,0.1000550993108575,661.0,659.7187231811884,0.07377469371329816,0.9103850325773638,0.4137621206189764
gl6,0.01,5,195,1.95,0.12706460162732502,658.0,0.09339928009198065,650.0,650.955698723448,0.07252357781717242,0.9025185726942512,0.4306509328237096
gl6,0.01,5,200,2.0,0.12363977982749413,656.0,0.12363977982749413,656.0,656.5039263696278,0.08386834940128152,0.8642796403326687,0.5030116333708726
gl6,0.01,5,205,2.05,0.11322765880105047,654.0,0.02886215718216634,658.0,654.6197646573985,0.07555229917124621,0.9029480391285613,0.4297497395390557
gl6,0.01,5,210,2.1,0.11029415793313206,647.0,0.027131131330245393,7.0,7.587910876326987,0.02565954472614758,0.8442001041709062,0.536028156086815
gl6,0.01,5,215,2.15,0.11417889845368903,640.0,0.008552237882018419,7.0,2.5000331561323037,0.05204397893870587,0.6595413938510095,0.7516682445048931
gl6,0.01,5,220,2.2,0.12130966383945872,638.0,0.10183547961464405,645.0,644.3912805655605,0.09146750840448194,0.8311125248092897,0.5561042807829554
gl6,0.01,5,225,2.25,0.12016821243976779,642.0,0.104118661404115,670.0,670.3876197641371,0.05716949189678203,0.8676509372838798,0.4971738639856333
gl6,0.01,5,230,2.3000000000000003,0.11817176262227733,640.0,0.11817176262227733,640.0,640.0604447272692,0.07397610732835072,0.9092797451557926,0.4161854695318144
gl6,0.01,5,235,2.35,0.12690922168099628,638.0,0.06511465998352475,630.0,630.5712093473026,0.07771209444937127,0.8923210956932311,0.4514012208455257
gl6,0.01,5,240,2.4,0.1195457798121128,636.0,0.02785923673598033,641.0,636.5000536477489,0.08459974506172208,0.8892096942999461,0.4574998574458758
gl6,0.01,5,245,2.45,0.12369593465442083,634.0,0.06473129164781062,689.0,689.9023747656138,0.05062959532635979,0.8958039577937198,0.44444940004584005
gl6,0.01,5,250,2.5,0.11493540768088353,632.0,0.04857037707918647,638.0,633.5000536477489,0.08151477130220228,0.8877029059574183,0.46041671424347275
