case,sign,cell,time,rank,rho_F,max_ahead_HP_over_h2,fit_center_rel_cells,fit_A_over_h2,fit_relL2,fit_corr,candidate_peak_cell,candidate_peak_amp,edge_HP_over_h2
h002_mid_k20,-1,102,2.04,3,1.130946548553021,0.10499280940024078,172.63966630156722,0.027261708958602384,0.9310717246116446,0.3648361873892145,170,0.023385759090024383,0.0407444858778618
h002_mid_k20,-1,102,2.04,4,1.130946548553021,0.10499280940024078,145.12659786802033,0.03456816807808333,0.9573611723629334,0.2888937272629326,145,0.06132126381915533,0.0407444858778618
h002_mid_k20,-1,102,2.04,5,1.130946548553021,0.10499280940024078,158.09384103253353,0.025099829466585687,0.9650792985478722,0.2619579117231375,162,0.02406421406654197,0.0407444858778618
h002_mid_k20,-1,104,2.08,1,1.130946548553021,0.10507970476918112,170.7327077593501,0.04424650823485355,0.8204787757113364,0.5716769879986655,174,0.01199372532103023,0.05317251844486339
h002_mid_k20,-1,104,2.08,2,1.130946548553021,0.10507970476918112,170.73269484855427,0.0442465656809803,0.8645312913374251,0.5025789950828067,171,0.0716191562385784,0.05317251844486339
h002_mid_k20,-1,104,2.08,3,1.130946548553021,0.10507970476918112,169.499982482125,0.03944323235098887,0.9029346431754948,0.4297778846724691,165,0.03889760601098083,0.05317251844486339
h002_mid_k20,-1,104,2.08,4,1.130946548553021,0.10507970476918112,109.49780849482192,0.06220591641406813,0.916255377917075,0.4005946610203861,109,0.10507970476918112,0.05317251844486339
h002_mid_k20,-1,104,2.08,5,1.130946548553021,0.10507970476918112,103.58772289957892,0.054592849301178706,0.9259989050076,0.37752619501794293,105,0.07560771275064124,0.05317251844486339
h002_mid_k20,-1,106,2.12,1,1.130946548553021,0.1009800041287643,171.5116146509141,0.06872802850205242,0.7481859691499487,0.6634890772025955,171,0.09319785862262153,0.06950449789784605
h002_mid_k20,-1,106,2.12,2,1.130946548553021,0.1009800041287643,171.49997997828802,0.06872721014448352,0.7733137648457201,0.6340235177815868,167,0.03567817780455962,0.06950449789784605
h002_mid_k20,-1,106,2.12,3,1.130946548553021,0.1009800041287643,104.85902740979839,0.0705799446057099,0.860648905319582,0.5091988430585886,101,0.010316814701550419,0.06950449789784605
h002_mid_k20,-1,106,2.12,4,1.130946548553021,0.1009800041287643,104.85903073730901,0.07058001207295607,0.8778436333015402,0.4789473410219026,105,0.1009800041287643,0.06950449789784605
h002_mid_k20,-1,106,2.12,5,1.130946548553021,0.1009800041287643,110.51654698600782,0.04969984216878144,0.9498393258816052,0.3127383171419479,114,0.057729357785510624,0.06950449789784605
h002_mid_k20,-1,108,2.16,1,1.130946548553021,0.11838187262665603,106.25280999248059,0.08120784902698955,0.8381552282954625,0.5454317677592505,107,0.11838187262665603,0.042293536244600964
h002_mid_k20,-1,108,2.16,2,1.130946548553021,0.11838187262665603,106.25280761627289,0.08120785152262994,0.8452746158762767,0.5343321286945162,110,0.06258821107806484,0.042293536244600964
h002_mid_k20,-1,108,2.16,3,1.130946548553021,0.11838187262665603,172.56897787261357,0.036915735014934156,0.8804932332974036,0.4740587158965482,173,0.05492793619145762,0.042293536244600964
h002_mid_k20,-1,108,2.16,4,1.130946548553021,0.11838187262665603,157.9954393399729,0.02446980139916044,0.9649634226823169,0.2623844372008906,162,0.03573895948023415,0.042293536244600964
h002_mid_k20,-1,108,2.16,5,1.130946548553021,0.11838187262665603,166.3347544391578,0.022786405063987162,0.9690057384484851,0.24703821334746115,166,0.04473318647808636,0.042293536244600964
h002_mid_k20,-1,110,2.2,1,1.130946548553021,0.12319224837754837,170.14424491082718,0.055533601428483986,0.816475853270073,0.5773795814080253,174,0.0322179900406157,0.08431610525239433
h002_mid_k20,-1,110,2.2,2,1.130946548553021,0.12319224837754837,170.1442418339667,0.05553357614981382,0.8191204655577351,0.5736215328110329,171,0.08454521485642323,0.08431610525239433
h002_mid_k20,-1,110,2.2,3,1.130946548553021,0.12319224837754837,108.03245065999567,0.08383376731677726,0.8322025754833628,0.5544717065449397,107,0.12319224837754837,0.08431610525239433
h002_mid_k20,-1,110,2.2,4,1.130946548553021,0.12319224837754837,108.03245036948272,0.08383377014872719,0.8419564345101642,0.5395455146574116,111,0.043488834922251154,0.08431610525239433
h002_mid_k20,-1,110,2.2,5,1.130946548553021,0.12319224837754837,169.49997994862326,0.054127327894895265,0.8638514627561436,0.5037466131837233,165,0.04059418880503999,0.08431610525239433
h002_mid_k20,-1,112,2.24,1,1.130946548553021,0.12207858812573415,171.81330816428022,0.08234067867624947,0.7602552848001171,0.6496244314475039,172,0.12207858812573415,0.06718335087903624
h002_mid_k20,-1,112,2.24,2,1.130946548553021,0.12207858812573415,171.81330792212384,0.0823406774140645,0.763991823235601,0.6452259247962234,168,0.04342634103560348,0.06718335087903624
h002_mid_k20,-1,112,2.24,3,1.130946548553021,0.12207858812573415,109.9307120442678,0.0773955550892403,0.8666226301054886,0.498964143991375,110,0.08929059270462622,0.06718335087903624
h002_mid_k20,-1,112,2.24,4,1.130946548553021,0.12207858812573415,110.50002049161674,0.07554762675629494,0.8851157676333882,0.4653709035669913,115,0.008685686361822214,0.06718335087903624
h002_mid_k20,-1,112,2.24,5,1.130946548553021,0.12207858812573415,103.00872665944553,0.06544587806875775,0.8947283257626234,0.4466108183620419,103,0.10927607597384748,0.06718335087903624
h002_mid_k20,-1,114,2.2800000000000002,1,1.130946548553021,0.09930678008718552,104.51286868789657,0.08150333693880175,0.8635445881256872,0.5042724901467823,105,0.09930678008718552,0.022181383394460807
h002_mid_k20,-1,114,2.2800000000000002,2,1.130946548553021,0.09930678008718552,111.74141370820803,0.06985509723968891,0.9120482295698006,0.4100829512898485,111,0.07872442627068385,0.022181383394460807
h002_mid_k20,-1,114,2.2800000000000002,3,1.130946548553021,0.09930678008718552,111.74141353012999,0.06985510849324748,0.9159613523794595,0.4012664961683095,115,0.0509300004015005,0.022181383394460807
