case,h,kappa,method,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
h002_k20_L20,0.02,20,gl4,210,4.2,0.10916125342742226,247.0,0.02804726156257533,198.0,201.12441223495853,0.028568391038589346,0.8679965590169457,0.49657021007581803
h002_k20_L20,0.02,20,gl4,215,4.3,0.11669425200290195,244.0,0.024639256248452972,249.0,244.5000200513757,0.07145810477809313,0.8567688279107732,0.5157006646499495
h002_k20_L20,0.02,20,gl4,220,4.4,0.0957395997746293,237.0,0.07863971013600804,282.0,282.34245419220383,0.06501453047726204,0.8568131293942294,0.5156270564057589
h002_k20_L20,0.02,20,gl4,225,4.5,0.11276290896390874,233.0,0.09531327612901558,285.0,285.9330371970825,0.06677888662237866,0.8753734610203033,0.48344731227025733
h002_k20_L20,0.02,20,gl4,230,4.6000000000000005,0.11467329176662379,230.0,0.11467329176662379,230.0,231.22646966627576,0.07719914215674,0.8401180640956867,0.5424035751911264
h002_k20_L20,0.02,20,gl4,235,4.7,0.09692282390759073,223.0,0.09327032097733114,229.0,228.49252405417963,0.07048646983931799,0.8733108368889803,0.4871634039747535
h002_k20_L20,0.02,20,gl4,240,4.8,0.11455089678154065,226.0,0.0886155073926324,284.0,284.8210321288286,0.06005721396844512,0.8762459749502378,0.4818640797813291
h002_k20_L20,0.02,20,gl4,245,4.9,0.11556060486888804,223.0,0.11556060486888804,223.0,223.24665500995968,0.07215098425341555,0.8524755291555665,0.5227671299832615
h002_k20_L20,0.02,20,gl4,250,5.0,0.09870406814209597,220.0,0.09870406814209597,220.0,220.4731248312171,0.06926300830677842,0.877471925744206,0.47962800119546284
h002_k20_L20,0.02,20,gl4,255,5.1000000000000005,0.11292341861088304,217.0,0.06621104924876592,314.0,316.4770999626272,0.06965114859060458,0.8749154751877388,0.48427565629196434
h002_k20_L20,0.02,20,gl4,260,5.2,0.1030695344672304,215.0,0.081913586580607,280.0,278.8629007118859,0.06547903862678067,0.8446681503572593,0.5352903098058533
h002_k20_L20,0.02,20,gl4,265,5.3,0.10469465459677824,207.0,0.08881219110844148,280.0,281.21870337056873,0.06680271219068867,0.8739710612417392,0.485977966693952
h002_k20_L20,0.02,20,gl4,270,5.4,0.10946780731575255,205.0,0.10946780731575255,205.0,203.9757404487982,0.0669112120382851,0.8949122311564833,0.44624219716038166
h002_k20_L20,0.02,20,gl4,275,5.5,0.10892929639220711,202.0,0.05455043853064796,128.0,128.40245119102462,0.029299197182164588,0.8639152382586252,0.5036372316504635
h002_k20_L20,0.02,20,gl4,280,5.6000000000000005,0.12140396790913535,199.0,0.09759761202243812,282.0,280.7186247667763,0.07874736118626247,0.8417716173584636,0.5398338116584736
h002_k20_L20,0.02,20,gl4,285,5.7,0.1171584161596597,196.0,0.08216026435288404,320.0,318.0039008256749,0.06930125098396996,0.8642468490187475,0.5030679715119679
h002_k20_L20,0.02,20,gl4,290,5.8,0.11960732695577729,193.0,0.08124971097008832,321.0,320.41235453952265,0.06497292472565201,0.8569178337171296,0.5154530301177225
h002_k20_L20,0.02,20,gl4,295,5.9,0.10735476310074613,198.0,0.047204309177650866,194.0,190.64002069225455,0.07526667577265564,0.8568946404865135,0.5154915858726393
h002_k20_L20,0.02,20,gl4,300,6.0,0.0990637790200156,194.0,0.0766522220230331,287.0,288.6208797462018,0.0700737591613059,0.8723946980584413,0.4888020977855158
