case,h,kappa,method,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
h001_k5,0.01,5,gl4,475,4.75,0.20095455001011228,546.0,0.20095455001011228,546.0,544.8316040026186,0.2018556584013914,0.47923047526393375,0.8776890973336202
h001_k5,0.01,5,gl4,480,4.8,0.20249701044515347,561.0,0.20249701044515347,561.0,561.2943208749402,0.20402033131483605,0.4659880929550289,0.8847909907001399
h001_k5,0.01,5,gl4,485,4.8500000000000005,0.20288510356530848,684.0,0.17919026188854595,576.0,577.0381116667768,0.2121258391689378,0.5016255102509745,0.8650848787636102
h001_k5,0.01,5,gl4,490,4.9,0.1990252391855453,678.0,0.1661969528783296,455.0,455.14273795623694,0.1841472196565074,0.5401530672934903,0.8415667911065846
h001_k5,0.01,5,gl4,495,4.95,0.21651579838574206,671.0,0.1783117762300772,470.0,469.4248053707913,0.17607194862399037,0.5124475077263243,0.858718552160764
h001_k5,0.01,5,gl4,500,5.0,0.19423994793829413,664.0,0.17049116678112564,485.0,484.0970414880949,0.1779714198397339,0.5339317939237465,0.84552755096293
h001_k5,0.01,5,gl4,505,5.05,0.20228848815817502,658.0,0.06650094356333963,6.0,6.032700307420555,0.06695679047650126,0.5205098767911984,0.8538556483169808
h001_k5,0.01,5,gl4,510,5.1000000000000005,0.21321394039472588,652.0,0.17727940419276778,512.0,512.0267482284328,0.17972521391820603,0.5420844121141555,0.8403240387748351
h001_k5,0.01,5,gl4,515,5.15,0.22443369438727523,647.0,0.1712885213374701,527.0,526.6531045247191,0.18297503158925105,0.4671098843089685,0.8841992739088078
h001_k5,0.01,5,gl4,520,5.2,0.2035723136999701,642.0,0.15568077459440094,539.0,539.8272090472519,0.1853762016834021,0.517103921388161,0.8559226217859808
h001_k5,0.01,5,gl4,525,5.25,0.20440499804802031,636.0,0.13459977744809,551.0,554.3689566161902,0.1823934574930424,0.5673578935808418,0.8234713234785469
h001_k5,0.01,5,gl4,530,5.3,0.22658673614001668,635.0,0.11258289464284678,572.0,568.2910474985881,0.17733527643741132,0.5775991907807162,0.816320509854715
h001_k5,0.01,5,gl4,535,5.3500000000000005,0.2244582461093934,630.0,0.16805554045462123,583.0,582.6093267823655,0.18362481307097114,0.624806757537679,0.7807794283504474
h001_k5,0.01,5,gl4,540,5.4,0.2160935513765935,624.0,0.10068930058172537,593.0,597.3667706853835,0.17661358856402581,0.650235673119293,0.7597325643955906
h001_k5,0.01,5,gl4,545,5.45,0.20332789170387733,623.0,0.12382310821478545,12.0,11.499727226005234,0.13376335638879508,0.5135007940783182,0.85808911802967
h001_k5,0.01,5,gl4,550,5.5,0.209027658644999,613.0,0.12529873532569377,20.0,20.308154544751915,0.13240314548986465,0.20485009702343268,0.9787933580432032
h001_k5,0.01,5,gl4,555,5.55,0.1793190238503286,607.0,0.12633011191880666,29.0,28.986227531437862,0.13240435606315648,0.32416339120002025,0.9460011077190671
h001_k5,0.01,5,gl4,560,5.6000000000000005,0.1758045489140995,661.0,0.1246805227325256,38.0,37.71059790062259,0.13296788408283663,0.347040580960398,0.9378501133798888
h001_k5,0.01,5,gl4,565,5.65,0.20192911097120475,598.0,0.11772458605732147,49.0,48.69255982418554,0.13522936946725458,0.3738891122207652,0.9274734129681391
h001_k5,0.01,5,gl4,570,5.7,0.2091917106035355,596.0,0.1260015463005721,58.0,57.82438961194521,0.13246001771337598,0.3471389269482909,0.9378137157224716
h001_k5,0.01,5,gl4,575,5.75,0.1927690446683967,595.0,0.12371269943205093,67.0,66.50688747608046,0.13241137497218403,0.061804538958827954,0.9980882721303195
h001_k5,0.01,5,gl4,580,5.8,0.20128572150972762,593.0,0.1259642605250068,75.0,75.18570207639164,0.13241130177886185,0.00010426663351924464,0.9999999945642342
h001_k5,0.01,5,gl4,585,5.8500000000000005,0.20595235629236402,586.0,0.1261401263135852,84.0,83.86451109290624,0.1324113016935297,7.837146220282861e-05,0.9999999969289569
h001_k5,0.01,5,gl4,590,5.9,0.22382715903511788,584.0,0.12408298791048442,93.0,92.54332674306784,0.13241128531070506,0.04886590766806327,0.9988053479371126
h001_k5,0.01,5,gl4,595,5.95,0.1925732248752011,578.0,0.17904234479745942,25.0,25.122808080855293,0.1877798602970005,0.24017013574578158,0.970730810212519
h001_k5,0.01,5,gl4,600,6.0,0.1899826778181445,39.0,0.1899826778181445,39.0,38.89254503808388,0.17538468032505505,0.25622739889310714,0.9666165320624682
