case,cell,time,q,q_gauge,hp_edge
h0.01_k5_min,127,1.27,-0.02093977378693158,-0.02093977378693158,0.016904290544947076
h0.01_k5_min,128,1.28,0.02249837187968072,-0.02249837187968072,0.015689159828348336
h0.01_k5_min,129,1.29,-0.023517320859844752,-0.023517320859844752,0.017727575044349526
h0.01_k5_min,130,1.3,0.025035129600841977,-0.025035129600841977,0.019660403851492113
h0.01_k5_min,131,1.31,-0.025855870381798454,-0.025855870381798454,0.021488026466921044
h0.01_k5_min,132,1.32,0.027293959942376038,-0.027293959942376038,0.023443785519710703
h0.01_k5_min,133,1.33,-0.027846569411364805,-0.027846569411364805,0.025154772230022267
h0.01_k5_min,134,1.34,0.02918556569610993,-0.02918556569610993,0.027181885405507707
h0.01_k5_min,135,1.35,-0.029405796919545854,-0.029405796919545854,0.028974320263499477
h0.01_k5_min,136,1.36,0.030617027491860033,-0.030617027491860033,0.031055341089195658
h0.01_k5_min,137,1.37,-0.030418371212527273,-0.030418371212527273,0.033082633456185354
h0.01_k5_min,138,1.3800000000000001,0.03135680732317589,-0.03135680732317589,0.035026170813878696
h0.01_k5_min,139,1.3900000000000001,-0.03057900975836383,-0.03057900975836383,0.037286238016013766
h0.01_k5_min,140,1.4000000000000001,0.030981096052232888,-0.030981096052232888,0.03873761594389266
h0.01_k5_min,141,1.41,-0.02939677707408786,-0.02939677707408786,0.04102240525300891
h0.01_k5_min,142,1.42,0.029042406343374967,-0.029042406343374967,0.04165359534942089
h0.01_k5_min,143,1.43,-0.026503007142857263,-0.026503007142857263,0.04377508388514201
h0.01_k5_min,144,1.44,0.025299645019583483,-0.025299645019583483,0.04344538401171715
h0.01_k5_min,145,1.45,-0.02177642313963793,-0.02177642313963793,0.04525366070239993
h0.01_k5_min,146,1.46,0.019763227179303337,-0.019763227179303337,0.04403986137903568
h0.01_k5_min,147,1.47,-0.015340199742189989,-0.015340199742189989,0.045460939182650734
h0.01_k5_min,148,1.48,0.012632161782552161,-0.012632161782552161,0.04363097153430252
h0.01_k5_min,149,1.49,-0.007436713266855213,-0.007436713266855213,0.04467399105162377
