h,kappa,dt,phi_right,phi_left,x0,N,Ldom,fixed_point_residual,lambda_real,lambda_imag,rho_F,arg_lambda,mode_type,right_eigen_residual,left_eigen_residual,left_ritz_lambda_real,left_ritz_lambda_imag,biorthogonality_real,biorthogonality_imag,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,q0_real,q0_imag,q0_abs,DN_right,DN_left,DN_pair_norm,right_ritz_iterations,left_ritz_iterations,runtime_s,case
0.02,20.0,0.001,0.3125,0.9939692820414194,8.003064692820415,800,16.0,1.9825829866704225e-10,-1.130950179002906,0.0,1.130950179002906,3.141592653589793,real flip,1.9954042700696512e-11,6.780992725770505e-12,-1.1309501790026515,0.0,1.0,0.0,0.7948777307633825,0.20481925471772225,0.9996969854811047,-0.0013225749421335387,0.0,0.0013225749421335387,-0.0020833333333333333,0.005488547578237994,0.005870641557475633,220,220.0,7.442275285720825,h0.02_k20
0.02,20.0,0.001,0.375,0.05646928204136259,8.004314692820413,800,16.0,1.8388162973076265e-10,-1.1309527095864054,0.0,1.1309527095864054,3.141592653589793,real flip,2.1215169933164416e-11,6.8155733100580155e-12,-1.1309527095854401,0.0,0.9999999999999998,0.0,0.7947080619545238,0.20499855160163322,0.999706613556157,-0.0013503357855524864,0.0,0.0013503357855524864,-0.001388888888888889,-0.004928119088429305,0.00512009473500445,220,220.0,7.153220176696777,h0.02_k20
0.02,20.0,0.001,0.4375,0.11896928204139101,8.005564692820414,800,16.0,1.5114109963576539e-10,-1.1309506276781458,0.0,1.1309506276781458,3.141592653589793,real flip,1.6225402907276305e-10,6.9577817095108476e-12,-1.130950627694568,0.0,0.9999999999999999,0.0,0.7945573593671346,0.20515653139186912,0.9997138907590037,-0.0013304205925874534,0.0,0.0013304205925874534,-0.0006944444444444445,-0.004233674643984544,0.0042902510506423065,200,220.0,8.892680168151855,h0.02_k20
0.02,20.0,0.001,0.5,0.18146928204141943,8.006814692820415,800,16.0,3.5217193945149167e-10,-1.1309599828728176,0.0,1.1309599828728176,3.141592653589793,real flip,1.6644368167935056e-10,7.193470318717595e-12,-1.1309599828669954,0.0,1.0,0.0,0.7944367920403276,0.20528127444794306,0.9997180664882707,0.0012663389759499063,0.0,0.0012663389759499063,0.0,-0.003539230199539784,0.003539230199539784,200,220.0,15.99628472328186,h0.02_k20
0.02,20.0,0.001,0.5625,0.2439692820413626,8.008064692820414,800,16.0,2.0557941517195845e-10,-1.130962349938999,0.0,1.130962349938999,3.141592653589793,real flip,1.488920675884393e-11,7.571845867176777e-12,-1.1309623499385846,0.0,1.0,0.0,0.7943494520415679,0.20536931919525594,0.9997187712368238,-0.0011624512693920092,0.0,0.0011624512693920092,0.0006944444444444445,-0.0028447857550959713,0.002928320180379309,220,220.0,15.940605401992798,h0.02_k20
0.02,20.0,0.001,0.625,0.306469282041391,8.009314692820414,800,16.0,4.148171411696769e-10,-1.1309525794951973,0.0,1.1309525794951973,3.141592653589793,real flip,1.3493939123219172e-11,8.153196825751848e-12,-1.1309525794947568,0.0,0.9999999999999998,0.0,0.7943019378225346,0.2054138610483535,0.999715798870888,-0.0010229347720185566,0.0,0.0010229347720185566,0.001388888888888889,-0.002150341310651211,0.002559878922521958,220,220.0,15.7995924949646,h0.02_k20
0.02,20.0,0.001,0.6875,0.36896928204143364,8.010564692820415,800,16.0,1.4774903522862814e-10,-1.1309536655280827,0.0,1.1309536655280827,3.141592653589793,real flip,1.2679008753002861e-11,8.969323647047992e-12,-1.130953665527328,0.0,1.0,0.0,0.7943020864783775,0.2054075655304375,0.999709652008815,0.000852406933633009,0.0,0.000852406933633009,0.0020833333333333333,-0.0014558968662062928,0.002541635981569171,220,220.0,12.649010181427002,h0.02_k20
0.02,20.0,0.001,0.75,0.4314692820413768,8.011814692820414,800,16.0,1.7871985402012625e-10,-1.1309512328833053,0.0,1.1309512328833053,3.141592653589793,real flip,1.2258485823277033e-11,1.0192814468811028e-11,-1.13095123288156,0.0,0.9999999999999998,0.0,0.7943418776063639,0.20535925859161758,0.9997011361979815,0.0006543378738895493,0.0,0.0006543378738895493,0.002777777777777778,-0.00076145242176248,0.0028802533175614946,220,220.0,8.828957557678223,h0.02_k20
0.02,20.0,0.001,0.8125,0.4939692820414052,8.013064692820414,800,16.0,1.6216043351863219e-10,-1.1309505290568962,0.0,1.1309505290568962,3.141592653589793,real flip,1.2181122714240574e-11,1.1965832240802165e-11,-1.130950529053702,0.0,1.0000000000000002,0.0,0.7944111704836212,0.2052805262270204,0.9996916967106416,-0.0004322983760099619,0.0,0.0004322983760099619,0.003472222222222222,-6.700797731771976e-05,0.0034728687319733292,220,220.0,8.438558340072632,h0.02_k20
0.02,20.0,0.001,0.875,0.5564692820413484,8.014314692820413,800,16.0,1.4643608547970643e-10,-1.1309539779453435,0.0,1.1309539779453435,3.141592653589793,real flip,1.2677887744913038e-11,1.3938779957745103e-11,-1.130953977937279,0.0,0.9999999999999999,0.0,0.7945113703249967,0.2051680461471956,0.9996794164721924,-0.00018919589160120857,0.0,0.00018919589160120857,0.004166666666666667,0.0006274364671260931,0.004213643035591741,220,220.0,10.05728530883789,h0.02_k20
0.02,20.0,0.001,0.9375,0.6189692820413768,8.015564692820414,800,16.0,1.426343487764825e-10,-1.1309529835714138,0.0,1.1309529835714138,3.141592653589793,real flip,1.2880599518050254e-11,1.7821472786635343e-11,-1.130952983557279,0.0,1.0,0.0,0.7946490056628012,0.2050233328155615,0.9996723384783627,-7.493227664611936e-05,0.0,7.493227664611936e-05,0.004861111111111111,0.0013218809115708534,0.005037635395594177,220,220.0,10.127786874771118,h0.02_k20
