h,kappa,dt,phi_right,phi_left,x0,N,Ldom,fixed_point_residual,lambda_real,lambda_imag,rho_F,arg_lambda,mode_type,right_eigen_residual,left_eigen_residual,left_ritz_lambda_real,left_ritz_lambda_imag,biorthogonality_real,biorthogonality_imag,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,q0_real,q0_imag,q0_abs,DN_right,DN_left,DN_pair_norm,right_ritz_iterations,left_ritz_iterations,runtime_s,case,q_turn,cells_to_turn_linear,time_to_turn_linear
0.01,20.0,0.0005,0.25,0.6129385640828104,7.999314692820414,1600,16.0,1.6103932467051438e-10,-1.0830096980504411,0.1487810232150616,1.0931815032007397,3.005069848350488,complex pair,1.3889048789526771e-09,,,,,,0.6617644122744929,0.3376341930434445,0.9993986053179372,,,,,,,260,,5.7115561962127686,h0.01_k20,,,
0.01,20.0,0.0005,0.3125,0.6754385640827536,7.999939692820414,1600,16.0,1.9772564150427477e-10,-1.0830045370413466,0.1487807365314399,1.093176351196356,3.00506946561936,complex pair,1.427100125358719e-09,,,,,,0.6618113927961233,0.3375988035114974,0.9994101963076208,,,,,,,260,,5.74125075340271,h0.01_k20,,,
0.01,20.0,0.0005,0.375,0.7379385640826968,8.000564692820413,1600,16.0,1.3613667730378988e-10,-1.0830072800422406,0.1487831205441167,1.09317939313881,3.005067646605147,complex pair,1.4312818035438434e-09,,,,,,0.6618261337334902,0.3375936488618398,0.99941978259533,,,,,,,260,,7.749202489852905,h0.01_k20,,,
0.01,20.0,0.0005,0.4375,0.8004385640828104,8.001189692820414,1600,16.0,1.6102160203975294e-10,-1.083012253183409,0.148783494037374,1.0931843708374969,3.005067927283355,complex pair,2.517518050525022e-10,,,,,,0.6617566968325598,0.3376714887431243,0.999428185575684,,,,,,,280,,7.815873622894287,h0.01_k20,,,
0.01,20.0,0.0005,0.5,0.8629385640827536,8.001814692820414,1600,16.0,1.1527924185317155e-10,-1.083012690730032,0.1487838432608804,1.093184851842442,3.00506766527512,complex pair,3.0522457969808904e-10,,,,,,0.6616150654231563,0.3378186037088878,0.999433669132044,,,,,,,280,,7.685757637023926,h0.01_k20,,,
0.01,20.0,0.0005,0.5625,0.9254385640826968,8.002439692820413,1600,16.0,1.6379514613046967e-10,-1.0830081095019284,0.1487840835679351,1.093180345949419,3.005066877132584,complex pair,3.659392140155303e-10,,,,,,0.6613570574229917,0.3380803064228754,0.9994373638458672,,,,,,,280,,5.936103105545044,h0.01_k20,,,
0.01,20.0,0.0005,0.625,0.9879385640828388,8.003064692820415,1600,16.0,7.785610588032562e-11,-1.0830072970587687,0.1487833073648308,1.093179435423553,3.005067479417258,complex pair,3.5016518429495617e-10,,,,,,0.6611319114291982,0.3383051760214496,0.999437087450648,,,,,,,280,,5.728866815567017,h0.01_k20,,,
0.01,20.0,0.0005,0.6875,0.050438564082782,8.003689692820414,1600,16.0,1.4560122271539079e-10,-1.0830140475258632,0.1487850157155107,1.0931863555861907,3.0050667716642345,complex pair,2.7554950705037416e-10,,,,,,0.6608977223612288,0.3385390802262205,0.9994368025874492,,,,,,,280,,6.081425428390503,h0.01_k20,,,
0.01,20.0,0.0005,0.75,0.1129385640827251,8.004314692820413,1600,16.0,9.315303386795743e-11,-1.083013174157653,0.1487843622181611,1.0931854014025708,3.0050672551587434,complex pair,2.157815390282658e-10,,,,,,0.6607409020638539,0.3386930073531017,0.9994339094169556,,,,,,,280,,7.946524381637573,h0.01_k20,,,
0.01,20.0,0.0005,0.8125,0.1754385640828388,8.004939692820415,1600,16.0,1.1120119835118228e-10,-1.0830081447015794,0.1487841271963197,1.093180386759444,3.005066841976749,complex pair,1.008740680967601e-09,,,,,,0.6606256501734564,0.3388051933522993,0.9994308435257556,,,,,,,260,,7.7727861404418945,h0.01_k20,,,
