label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_eps1e-5,0.02,20,1e-05,91,1.82,0.024087743511854998,0.007759237177311459,7.99849173749311e-05,6.537653710285806e-06,1.3333333144825628,8.377580405388098,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,92,1.84,0.04615385273097456,0.0033152442625902392,1.4804317228921836e-05,6.61041295544422e-06,1.3333333766934101,8.377580405317712,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,93,1.86,0.06518412961274324,0.000293629053101973,8.787884268771293e-08,6.95368909877759e-06,1.333333300236011,8.37758040530305,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,94,1.8800000000000001,0.06801667283050764,0.004058759497937008,2.0401211012020923e-05,7.140743434063105e-06,1.3333333512985936,8.377580405243442,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,95,1.9000000000000001,0.06850016808477953,0.007247421404119551,6.655273419479725e-05,7.1901912509488425e-06,1.3333333331206738,8.377580405185538,8.37758038929525
h002_k20_eps1e-5,0.02,20,1e-05,96,1.92,0.056359413953234995,0.00996516400243676,0.00012844619562535665,7.164593083473828e-06,1.333333317657628,8.37758040511549,8.377580389295249
h002_k20_eps1e-5,0.02,20,1e-05,97,1.94,0.051786375696000524,0.01112507880217603,0.00016262366787743457,6.8610215473804884e-06,1.3333333708062645,8.37758040500599,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,98,1.96,0.03135648655202958,0.00987632940559346,0.0001301695053427927,6.518832979227843e-06,1.3333333050458527,8.377580404912912,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,99,1.98,0.047087132238684735,0.005052651697789094,3.456948886145268e-05,6.90102646764628e-06,1.3333333692739617,8.377580404873559,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,100,2.0,0.0694357969418302,0.0007572499344829631,8.923979612086236e-07,7.5600345253690694e-06,1.3333333168356714,8.377580404903263,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,101,2.02,0.057798753738640254,0.002703284460307825,8.929059072319312e-06,7.633960457794678e-06,1.3333333492560597,8.377580404828208,8.37758038929525
h002_k20_eps1e-5,0.02,20,1e-05,102,2.04,0.04281924117064447,0.003631695712635132,1.650514568024885e-05,7.251468884174924e-06,1.3333333264710898,8.377580404720872,8.37758038929525
h002_k20_eps1e-5,0.02,20,1e-05,103,2.06,0.012239629998534781,0.0021380243964453562,5.787790541294529e-06,6.863760549583884e-06,1.3333333227498947,8.3775804046099,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,104,2.08,0.03783536594978586,2.9665978310586643e-05,1.6771096405818265e-09,6.863989950234539e-06,1.3333333733043509,8.377580404536173,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,105,2.1,0.07001752742259702,0.0024179837871789412,7.214773928150829e-06,7.288755749399278e-06,1.3333333020306695,8.377580404531724,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,106,2.12,0.07457524986074313,0.0072731077033219346,6.664605734114774e-05,7.5412367974012805e-06,1.333333367201758,8.377580404487627,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,107,2.14,0.0870342797307011,0.013500986950926044,0.0002358524212693194,8.189364289948902e-06,1.3333333213018772,8.37758040451559,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,108,2.16,0.08122512140621743,0.024488151502019044,0.0008105628481926317,8.380184459876452e-06,1.333333330615159,8.377580404470452,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,109,2.18,0.07235844340483788,0.03443589103850097,0.0017078790577239457,7.912028750094912e-06,1.3333333643153358,8.377580404346427,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,110,2.2,0.05728484054476908,0.03790365643064887,0.002228940923232855,7.597252234518691e-06,1.3333333127160447,8.377580404247402,8.377580389295257
h002_k20_eps1e-5,0.02,20,1e-05,111,2.22,0.06439267350548317,0.033845016676809364,0.0018957113472913426,7.5209336710442415e-06,1.3333333703814072,8.37758040416658,8.377580389295257
h002_k20_eps1e-5,0.02,20,1e-05,112,2.24,0.09290840871270384,0.025850576091381146,0.0011481911250495207,7.831442180643372e-06,1.3333333166088859,8.377580404158541,8.377580389295257
h002_k20_eps1e-5,0.02,20,1e-05,113,2.2600000000000002,0.09802614193925087,0.01455567408814908,0.00038527865892204417,8.05630722587249e-06,1.3333333443985738,8.377580404113287,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,114,2.2800000000000002,0.09210099429390957,0.004058319032511191,4.055153183535962e-05,7.885916129072975e-06,1.3333333405283652,8.37758040403504,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,115,2.3000000000000003,0.053160187729594216,0.0010491835268619275,1.4821988767642773e-06,7.462657284014652e-06,1.333333308836434,8.377580403925592,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,116,2.32,0.025322818978855754,0.0009999547636499752,1.0359273324556312e-06,7.002039097292837e-06,1.333333382385569,8.377580403802492,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,117,2.34,0.029507977997751306,0.0005319032977234297,4.006295655039725e-07,6.885209160086639e-06,1.333333294107561,8.37758040374545,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,118,2.36,0.048955751331603306,0.0022841878360911833,6.505417440687603e-06,7.598828642062614e-06,1.3333333836021521,8.377580403764368,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,119,2.38,0.08228954631117034,0.005315293496608793,3.539963108610592e-05,8.186558128279102e-06,1.3333333128337692,8.377580403801701,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,120,2.4,0.05975405628902236,0.009234187983945725,0.00010932453755900215,8.092209281842461e-06,1.3333333355189971,8.377580403726975,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,121,2.42,0.049558082010302276,0.01072342154188363,0.0001505016537043481,7.844117729450701e-06,1.3333333451965992,8.37758040364169,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,122,2.44,0.02876280599255012,0.008693423591605938,0.00010039347182945462,7.603806255894153e-06,1.3333333245676102,8.377580403570226,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,123,2.46,0.052752051335372904,0.004095474353213478,2.2640638833986192e-05,7.797638787669856e-06,1.3333333789223323,8.377580403533157,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,124,2.48,0.0912276234716764,0.0009582922921179728,1.0220003563900124e-06,8.636557402165523e-06,1.3333333132599465,8.377580403623627,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,125,2.5,0.07560727377490821,0.007658694243706545,7.359766174707748e-05,8.719760207539645e-06,1.3333333494975745,8.37758040356639,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,126,2.52,0.058255875569911256,0.011023320751885406,0.00015755780952255515,8.535178663051557e-06,1.3333333235330178,8.377580403512251,8.377580389295249
h002_k20_eps1e-5,0.02,20,1e-05,127,2.54,0.03085234672504901,0.009300525535975405,0.0001147767118988465,8.425757568411384e-06,1.3333333237240106,8.377580403442836,8.37758038929525
h002_k20_eps1e-5,0.02,20,1e-05,128,2.56,0.03150761458586115,0.005616392426146059,4.2117774472056585e-05,8.109056814027092e-06,1.333333382525447,8.377580403363206,8.37758038929525
h002_k20_eps1e-5,0.02,20,1e-05,129,2.58,0.055914920303188044,0.0018190693441562352,4.508821252308855e-06,8.088101628337628e-06,1.333333300674787,8.377580403325162,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,130,2.6,0.0783868682633518,0.0030856556594853514,1.161001866449282e-05,8.332641338027538e-06,1.3333333644715673,8.377580403314596,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,131,2.62,0.09807345842394873,0.00917419953139694,0.00010640869899725963,8.810746628559389e-06,1.3333333281061002,8.377580403354678,8.377580389295249
