label,epsilon,a0,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,mismatch_l2
h001_k5_epscrit,0.3687,0.005,661,6.61,0.0025746021632989126,2.9337503722370324e-05,9.660272322874095e-10,0.04655523776573322
h001_k5_epscrit,0.3687,0.005,662,6.62,0.0025743201952557666,2.8708018705199313e-05,9.262659343012817e-10,0.046624631543303124
h001_k5_epscrit,0.3687,0.005,663,6.63,0.0025711294190415767,2.9296626147539903e-05,9.63340082004577e-10,0.046691696471963105
h001_k5_epscrit,0.3687,0.005,664,6.640000000000001,0.002571052709263918,2.8673268479843925e-05,9.240330014413093e-10,0.04676116862383501
h001_k5_epscrit,0.3687,0.005,665,6.65,0.0025679848593180904,2.9261506972756632e-05,9.610365178924445e-10,0.04682826023152653
h001_k5_epscrit,0.3687,0.005,666,6.66,0.00256766848975634,2.863363670389895e-05,9.214714846512471e-10,0.04689772348279381
h001_k5_epscrit,0.3687,0.005,667,6.67,0.002564840219953399,2.922546349925083e-05,9.58671490389916e-10,0.04696489678761465
h001_k5_epscrit,0.3687,0.005,668,6.68,0.002564637185644751,2.8599806138395165e-05,9.192917121016281e-10,0.047034314548219436
h001_k5_epscrit,0.3687,0.005,669,6.69,0.002561682680363421,2.9188013468493226e-05,9.562146258501932e-10,0.047101487112357114
h001_k5_epscrit,0.3687,0.005,670,6.7,0.0025615829851507507,2.8566402849754285e-05,9.171479243497815e-10,0.04717094176884422
h001_k5_epscrit,0.3687,0.005,671,6.71,0.002558630277471545,2.9152558395285138e-05,9.538945518949675e-10,0.04723812967689178
h001_k5_epscrit,0.3687,0.005,672,6.72,0.0025584221124303435,2.853014313087239e-05,9.148174401872165e-10,0.04730755910263018
h001_k5_epscrit,0.3687,0.005,673,6.73,0.0025553415731386217,2.9113403199380544e-05,9.513306464447095e-10,0.047374762270138024
h001_k5_epscrit,0.3687,0.005,674,6.74,0.002555208653999857,2.849374971696973e-05,9.124833445236444e-10,0.047444196484963924
h001_k5_epscrit,0.3687,0.005,675,6.75,0.0025521371899576563,2.90758808572921e-05,9.488795460799512e-10,0.04751140082303555
h001_k5_epscrit,0.3687,0.005,676,6.76,0.002552036448508226,2.8458594662509956e-05,9.102324792292134e-10,0.04758084759448193
h001_k5_epscrit,0.3687,0.005,677,6.7700000000000005,0.0025489392961617415,2.9038541576428078e-05,9.464452208690847e-10,0.04764801168993156
h001_k5_epscrit,0.3687,0.005,678,6.78,0.002548771868792843,2.8422319066312277e-05,9.079153374185557e-10,0.04771743493001668
h001_k5_epscrit,0.3687,0.005,679,6.79,0.002545487628599211,2.8997586389118896e-05,9.437770843821628e-10,0.04778463172276747
h001_k5_epscrit,0.3687,0.005,680,6.8,0.0025456408930506634,2.8389148932611275e-05,9.058052740154816e-10,0.047854188026907926
h001_k5_epscrit,0.3687,0.005,681,6.8100000000000005,0.002542557969617294,2.8964993839202997e-05,9.416583653257653e-10,0.04792140697654513
h001_k5_epscrit,0.3687,0.005,682,6.82,0.002542404950898604,2.8350355985595868e-05,9.03316752843729e-10,0.04799089636725875
h001_k5_epscrit,0.3687,0.005,683,6.83,0.0025393805322042147,2.892700929601031e-05,9.391883000179033e-10,0.04805812244368845
h001_k5_epscrit,0.3687,0.005,684,6.84,0.0025394031101948146,2.8317952043327532e-05,9.01259715275443e-10,0.04812768500433372
h001_k5_epscrit,0.3687,0.005,685,6.8500000000000005,0.002536441232350444,2.8893886544847878e-05,9.370417893109424e-10,0.04819493316462368
h001_k5_epscrit,0.3687,0.005,686,6.86,0.0025363175753631015,2.8282242605714348e-05,8.989842924186201e-10,0.04826444234548416
h001_k5_epscrit,0.3687,0.005,687,6.87,0.0025333109201651407,2.8857196862560987e-05,9.346666322278488e-10,0.048331721196711835
h001_k5_epscrit,0.3687,0.005,688,6.88,0.0025331188145528882,2.8245821745167007e-05,8.96664970523425e-10,0.04840121007558476
h001_k5_epscrit,0.3687,0.005,689,6.890000000000001,0.0025301878803015523,2.8820843448283854e-05,9.323114603393427e-10,0.048468512751526485
h001_k5_epscrit,0.3687,0.005,690,6.9,0.0025301450549856663,2.8213190366706023e-05,8.945961980900004e-10,0.04853801972619108
h001_k5_epscrit,0.3687,0.005,691,6.91,0.0025273128826173636,2.8788762205155595e-05,9.302422285175705e-10,0.048605369759876386
h001_k5_epscrit,0.3687,0.005,692,6.92,0.0025270301762498884,2.8176812733426158e-05,8.922821369780212e-10,0.04867478006962429
h001_k5_epscrit,0.3687,0.005,693,6.93,0.002523917395131314,2.8746929880441587e-05,9.275356185853829e-10,0.048742094985191865
h001_k5_epscrit,0.3687,0.005,694,6.94,0.0025239430658318615,2.814437771431297e-05,8.902384286900425e-10,0.048811632004961615
h001_k5_epscrit,0.3687,0.005,695,6.95,0.0025209860707773746,2.8714221566908134e-05,9.254296748969891e-10,0.04887897432384335
h001_k5_epscrit,0.3687,0.005,696,6.96,0.0025207325390543796,2.8105951318003552e-05,8.877990339013165e-10,0.04894841236471075
h001_k5_epscrit,0.3687,0.005,697,6.97,0.002517672617544362,2.867456718416602e-05,9.22873664408198e-10,0.04901581025485405
h001_k5_epscrit,0.3687,0.005,698,6.98,0.002517777599541907,2.807493859738519e-05,8.858446139860613e-10,0.0490853088091316
h001_k5_epscrit,0.3687,0.005,699,6.99,0.0025147094834257998,2.8640459354498632e-05,9.206797313111292e-10,0.04915269943945529
h001_k5_epscrit,0.3687,0.005,700,7.0,0.002514761659261781,2.8041116139827798e-05,8.837122199951044e-10,0.049222198027653874
h001_k5_epscrit,0.3687,0.005,701,7.01,0.002511497264212806,2.86020079160615e-05,9.182064237514812e-10,0.0492895430223457
h001_k5_epscrit,0.3687,0.005,702,7.0200000000000005,0.0025114838364211824,2.8003853483713407e-05,8.813641396060331e-10,0.049359054447609026
h001_k5_epscrit,0.3687,0.005,703,7.03,0.0025082453475550642,2.8564057648910025e-05,9.157715022851436e-10,0.04942643338961967
h001_k5_epscrit,0.3687,0.005,704,7.04,0.0025084914188270276,2.7971698262980467e-05,8.793442029411064e-10,0.049496036393148056
h001_k5_epscrit,0.3687,0.005,705,7.05,0.0025057589848057294,2.8538738225586977e-05,9.141591839983213e-10,0.04956348456489937
h001_k5_epscrit,0.3687,0.005,706,7.0600000000000005,0.0025053227557452953,2.7931732733349443e-05,8.768124333593287e-10,0.0496329114677933
h001_k5_epscrit,0.3687,0.005,707,7.07,0.0025023575873207703,2.849619747329822e-05,9.114283685994721e-10,0.049700354779482196
h001_k5_epscrit,0.3687,0.005,708,7.08,0.002502331701488593,2.790050561450435e-05,8.748643145866336e-10,0.04976989330462135
h001_k5_epscrit,0.3687,0.005,709,7.09,0.0024995255283903135,2.846537547904877e-05,9.094651702533089e-10,0.049837354313984554
h001_k5_epscrit,0.3687,0.005,710,7.1000000000000005,0.0024992664117589247,2.7864954917318202e-05,8.726302803880941e-10,0.0499068465791371
h001_k5_epscrit,0.3687,0.005,711,7.11,0.002496557775525026,2.8431035450781412e-05,9.072735941612584e-10,0.04997432381305828
h001_k5_epscrit,0.3687,0.005,712,7.12,0.002496276670294822,2.7831460661309278e-05,8.705316096831547e-10,0.050043814966470236
h001_k5_epscrit,0.3687,0.005,713,7.13,0.0024935538831419293,2.839612171433595e-05,9.050469776669366e-10,0.05011134172538216
h001_k5_epscrit,0.3687,0.005,714,7.140000000000001,0.0024932943049200762,2.779787355505764e-05,8.684301386361343e-10,0.05018082333770867
h001_k5_epscrit,0.3687,0.005,715,7.15,0.0024904405487817154,2.835950459807867e-05,9.027137331275725e-10,0.050248363040769344
h001_k5_epscrit,0.3687,0.005,716,7.16,0.0024902620329657556,2.776413548243858e-05,8.663246824798619e-10,0.0503178226342787
h001_k5_epscrit,0.3687,0.005,717,7.17,0.0024870810069557384,2.8318054511989888e-05,9.000679206675785e-10,0.050385300210208525
