label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_epscrit,0.02,20,0.191,135,2.7,0.0018107768999202584,6.851473545861163e-05,5.881715440323098e-09,1.1360854109970738e-07,1.3333333322694647,8.377580376542838,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,136,2.72,0.002609500183141037,8.060412625611452e-05,8.035782850695357e-09,1.2108862515927094e-07,1.3333333315397145,8.377580376302431,8.37758038929525
h002_k20_epscrit,0.02,20,0.191,137,2.74,0.001342029025634616,6.513559268537138e-05,5.369939007971557e-09,1.1135874343940016e-07,1.333333332088376,8.377580376062479,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,138,2.7600000000000002,0.0026604288952360253,7.790398159434375e-05,7.495867325574263e-09,1.232228899653814e-07,1.3333333315938634,8.377580375823397,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,139,2.7800000000000002,0.0017422199750058345,7.232960511547416e-05,6.561409979859438e-09,1.0948324786400874e-07,1.3333333318459886,8.377580375584955,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,140,2.8000000000000003,0.002059335290094267,7.078757953954179e-05,6.255881037078605e-09,1.1560218199433428e-07,1.3333333318488894,8.377580375347105,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,141,2.82,0.0023368227884239,7.784735007002753e-05,7.523020044828805e-09,1.208408155100826e-07,1.333333331421685,8.377580375110176,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,142,2.84,0.001651280523123227,6.839670005654623e-05,5.8848250503097435e-09,1.0812110595706074e-07,1.3333333320825158,8.377580374873618,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,143,2.86,0.0025683522722381065,7.863007681930557e-05,7.653818356301653e-09,1.2638238864327825e-07,1.333333331307271,8.377580374638043,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,144,2.88,0.0014950288270744998,6.743181552976191e-05,5.731184939963654e-09,1.076746157402725e-07,1.3333333318687746,8.37758037440287,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,145,2.9,0.0027071832771209327,7.987047728744751e-05,7.884754830351547e-09,1.2329455545484194e-07,1.3333333315637692,8.377580374168573,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,146,2.92,0.0014665343327480288,6.790089713925458e-05,5.816179700096777e-09,1.100025698563156e-07,1.3333333314865552,8.377580373934782,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,147,2.94,0.002456263458903575,7.544423623296454e-05,7.055895159242212e-09,1.1962149827797704e-07,1.3333333317654548,8.377580373701681,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,148,2.96,0.0020763066614911062,7.635154170912486e-05,7.271240724151736e-09,1.1357855172888097e-07,1.3333333312600344,8.377580373469293,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,149,2.98,0.0017297264287924113,6.766428414548391e-05,5.752012544291559e-09,1.1475322618846348e-07,1.3333333318432619,8.377580373237329,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,150,3.0,0.002682981208240637,8.111241928363702e-05,8.127769100585244e-09,1.24223068459605e-07,1.333333331097377,8.37758037300625,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,151,3.02,0.001460088115110781,6.762168860702493e-05,5.7741178837666025e-09,1.0827576267730375e-07,1.3333333318414393,8.377580372775498,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,152,3.04,0.0025819020754290914,7.735060023514182e-05,7.404768644255583e-09,1.2354020063564316e-07,1.333333331193646,8.377580372545513,8.37758038929525
