label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_eps0,0.02,20,0.0,139,2.7800000000000002,0.05346264743849356,0.010757520565123541,0.00023279781555446465,8.476750362521975e-06,1.33333330483556,8.37758040308714,8.377580389295279
h002_k20_eps0,0.02,20,0.0,140,2.8000000000000003,0.020662010081704648,0.008320665697190185,0.00011617817141075179,8.078403352223218e-06,1.3333333975162,8.37758040300251,8.377580389295279
h002_k20_eps0,0.02,20,0.0,141,2.82,0.02711860451112689,0.007035775211060112,7.229213746593392e-05,8.080252984074148e-06,1.3333333012417081,8.377580402993866,8.377580389295279
h002_k20_eps0,0.02,20,0.0,142,2.84,0.05074888556951607,0.007618381622205894,7.787295128205983e-05,8.49026375694804e-06,1.3333333696648602,8.377580403027908,8.377580389295277
h002_k20_eps0,0.02,20,0.0,143,2.86,0.10421424133662423,0.013099211309183512,0.00022362510371492302,9.38808851549078e-06,1.3333333125124671,8.377580403162103,8.377580389295277
h002_k20_eps0,0.02,20,0.0,144,2.88,0.08688775705926116,0.025887462027659628,0.0009072633429147422,9.604331449222868e-06,1.3333333337575723,8.377580403174953,8.377580389295279
h002_k20_eps0,0.02,20,0.0,145,2.9,0.07228303309078521,0.03797798823237673,0.0021038293162030704,9.0400950269018e-06,1.333333346582319,8.377580403076795,8.377580389295277
h002_k20_eps0,0.02,20,0.0,146,2.92,0.06552810640276902,0.03967826340168001,0.0025058160878297115,8.829978681906829e-06,1.333333337702339,8.37758040304549,8.377580389295275
h002_k20_eps0,0.02,20,0.0,147,2.94,0.09153308889879168,0.03182230684440714,0.0017477233815600187,9.133111232173155e-06,1.3333333788637445,8.377580403065142,8.377580389295273
h002_k20_eps0,0.02,20,0.0,148,2.96,0.11463884919129724,0.02046864787229967,0.0007637533861605404,9.54667009876532e-06,1.3333333090641695,8.377580403143488,8.377580389295272
h002_k20_eps0,0.02,20,0.0,149,2.98,0.08184030216017625,0.008725361615227571,0.000156926639327659,9.449662791332736e-06,1.3333333460322399,8.377580403104556,8.377580389295275
h002_k20_eps0,0.02,20,0.0,150,3.0,0.054473361209988885,0.0029063220139846197,2.039149661833422e-05,9.188984276134698e-06,1.3333333418305284,8.377580403076628,8.377580389295273
h002_k20_eps0,0.02,20,0.0,151,3.02,0.021865879975840084,0.0021194231787444746,7.630406888969529e-06,9.190717023709446e-06,1.3333332963703368,8.377580403063956,8.377580389295272
