label,alpha,alpha_c,cell,time,unstable_subspace_norm,hp_edge,hp_ahead_max,hp_ahead_energy
h002_k20_rank3_full,1.0,0.11578513676636337,52,1.04,3.402237607064994e-12,0.0006647228087913078,0.0001048060937462551,7.132092812103805e-08
h002_k20_rank3_full,1.0,0.11578513676636337,53,1.06,5.117021616854448e-12,0.0016584068435206852,0.0001048038679348963,7.95931393668567e-08
h002_k20_rank3_full,1.0,0.11578513676636337,54,1.08,2.947873194326911e-11,0.0006701115311074073,0.00010481463800861572,7.71046205852346e-08
h002_k20_rank3_full,1.0,0.11578513676636337,55,1.1,5.560509257263869e-12,0.0017456571127791936,0.00010479282410653172,7.771552564498011e-08
h002_k20_rank3_full,1.0,0.11578513676636337,56,1.12,2.183922676716786e-11,0.0013418686473638706,0.00010481614958212503,8.562007657811037e-08
h002_k20_rank3_full,1.0,0.11578513676636337,57,1.1400000000000001,3.4569180819717274e-11,0.000640729520245886,0.00012388087953096017,9.892352588988272e-08
h002_k20_rank3_full,1.0,0.11578513676636337,58,1.16,9.48828331417995e-12,0.0008082052646556092,0.00015957290008377818,1.240679344374073e-07
h002_k20_rank3_full,1.0,0.11578513676636337,59,1.18,1.4397953150316994e-11,0.0005219596249840485,0.00017533814193776995,1.5507594850467716e-07
h002_k20_rank3_full,1.0,0.11578513676636337,60,1.2,1.193650288344973e-11,0.001766104849572462,0.000175338656322262,1.8310618902276972e-07
h002_k20_rank3_full,1.0,0.11578513676636337,61,1.22,1.1377575245478677e-11,0.002140725534530157,0.00017535066775739604,1.9873462815092675e-07
h002_k20_rank3_full,1.0,0.11578513676636337,62,1.24,6.5597320717785305e-12,0.0005009845933243266,0.00017535102591654974,2.0167196364841116e-07
h002_k20_rank3_full,1.0,0.11578513676636337,63,1.26,1.7405713412788224e-11,0.002232183596793682,0.0001753667742763564,2.0601323676915188e-07
h002_k20_rank3_full,1.0,0.11578513676636337,64,1.28,9.160856625080338e-12,0.0022695325853363353,0.00017533064345594853,2.1110942169608874e-07
